,gameId,trialNum,repNum,utterance,label,logits
0,22dyGMRgestp8u5Lc,0,0,jumping off building with hands in the air,C,"[16.401867  15.730396  19.846647  15.164095  15.143763  15.784234
 16.520567  16.865257  14.744764  14.5858345 14.192253  15.349032 ]"
1,22dyGMRgestp8u5Lc,1,0,like the a high heeled shoe tough one,G,"[16.337885 17.754417 15.70507  13.797302 17.701118 16.424877 18.946672
 15.660231 15.351713 13.314872 15.125921 15.789776]"
2,22dyGMRgestp8u5Lc,2,0,no arms not legs like a necktie with the bottom turned slightly to the right,H,"[22.777472 21.09119  22.772247 20.156948 20.680853 22.993338 22.076843
 26.46156  19.270472 18.113739 17.67684  20.814758]"
3,22dyGMRgestp8u5Lc,3,0,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,B,"[17.652796 23.981153 19.837847 18.06934  23.186945 23.891302 20.714388
 18.90998  20.048723 17.744764 19.1362   22.237202]"
4,22dyGMRgestp8u5Lc,4,0,"kneeling in gown with Bible in hand, facing to the right heel up in back",K,"[ 9.708426  14.092411   8.960176  14.487041  13.3478985 12.914822
 15.959646  10.540933  10.793249  10.283929  10.426738  13.253946 ]"
5,22dyGMRgestp8u5Lc,5,0,"Starting to stand after kneeling facing right, Bible still in hand",L,"[14.357999 13.820341 12.529725 15.678628 14.120282 16.77657  15.584196
 12.41993  13.079744 11.405009  9.618884 13.149013]"
6,22dyGMRgestp8u5Lc,6,0,"standing, but falling backward facing left right foot in the air arms out",A,"[25.474676 23.36979  23.33957  21.433847 22.993134 23.236067 24.540388
 20.342165 23.332369 19.819979 20.179491 21.567642]"
7,22dyGMRgestp8u5Lc,7,0,Priest standing up straight facing left reading from Bible,D,"[15.524689 14.650183 12.577447 20.134628 16.316853 17.110039 16.208443
 16.880844 14.066711 15.095859 11.710128 17.050299]"
8,22dyGMRgestp8u5Lc,8,0,Guy relaxing in the park facing left arms to side (not visible) knees up,F,"[19.10004   17.503878  18.619411  16.962475  17.890034  25.640425
 19.156054  16.29993   16.694302  14.4800825 14.647566  16.74256  ]"
9,22dyGMRgestp8u5Lc,9,0,"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",I,"[23.619429 20.826773 20.691633 19.019722 20.212763 22.68834  21.617989
 17.580656 20.62799  17.453428 16.997896 17.948296]"
10,22dyGMRgestp8u5Lc,10,0,kid facing right sitting on butt knees up slightly wearing bunny ears,E,"[14.41795  15.308416 13.909843 16.654736 17.738918 20.64805  16.858667
 14.776857 19.253502 13.568011 17.270811 16.860453]"
11,22dyGMRgestp8u5Lc,11,0,aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,J,"[16.14767  16.370392 17.68963  17.270412 19.0689   17.746498 15.926666
 16.87897  15.451926 17.99897  17.666193 17.58663 ]"
12,22dyGMRgestp8u5Lc,12,1,Kneeling with bible facing to the right Heel up,K,"[14.771695 16.865492 13.180986 18.213812 16.584301 18.653246 18.106134
 13.858652 15.807971 13.163076 13.122916 16.810514]"
13,22dyGMRgestp8u5Lc,13,1,Standing up from kneeling Bible still in hand,L,"[13.562788  12.585243  12.690451  14.645061  12.77007   14.7474375
 14.354677  11.11215   11.060731  10.384432   8.622528  12.994142 ]"
14,22dyGMRgestp8u5Lc,14,1,Falling off building Arms in air,C,"[20.728964 17.708158 25.718815 15.165488 17.05612  19.132372 18.786213
 17.039087 16.628027 15.040612 14.69804  15.269621]"
15,22dyGMRgestp8u5Lc,15,1,Priest standing with bible Facing to the left,D,"[11.734228  11.385195  11.00918   17.992105  12.7552395 12.530172
 13.776062  13.201836  10.584424  11.666038  10.028734  14.953067 ]"
16,22dyGMRgestp8u5Lc,16,1,Bunny ears,E,"[12.344178  12.498264  14.08993   13.712697  15.937977  13.517848
 14.056845  14.9977255 14.009985  11.47099   14.398569  13.196784 ]"
17,22dyGMRgestp8u5Lc,17,1,"Falling backwards, facing left, arms out",A,"[25.841703 23.84802  28.461123 20.729565 22.651232 23.639181 24.340313
 20.750093 22.411238 21.274069 20.676863 21.338434]"
18,22dyGMRgestp8u5Lc,18,1,Half a pot with triangle on top,J,"[14.6029415 15.949397  17.32586   17.692379  18.134342  16.73346
 15.579888  17.464882  14.349691  18.081064  18.666044  19.178062 ]"
19,22dyGMRgestp8u5Lc,19,1,no arms or legs,H,"[17.823101 17.091543 20.860695 17.063145 16.882032 21.02967  18.209072
 16.910292 16.157822 14.863121 14.699072 16.954454]"
20,22dyGMRgestp8u5Lc,20,1,"high heel shoe, facing left",G,"[17.619085 18.482784 16.717695 16.840807 20.731821 17.86058  21.15485
 19.80673  16.860613 15.756629 18.355663 19.58047 ]"
21,22dyGMRgestp8u5Lc,21,1,"baby looking up with arms out, bow on back of head",B,"[19.581402 23.263424 22.090296 17.911552 22.45424  20.654802 22.00668
 20.816275 21.189306 18.64696  20.090832 22.253458]"
22,22dyGMRgestp8u5Lc,22,1,"arms out in front, back leg up, facing left",I,"[20.681845 19.468693 23.702236 17.88354  18.02278  19.158407 20.370033
 18.105667 19.047852 16.668566 15.591919 17.586363]"
23,22dyGMRgestp8u5Lc,23,1,"sitting down, facing left, no arms visible",F,"[15.614729 19.433516 19.942158 20.10775  21.567371 24.82504  20.378376
 18.479532 18.864676 16.979576 17.340595 20.201166]"
24,22dyGMRgestp8u5Lc,24,2,No arms or legs upright,H,"[19.912252 18.749659 21.761044 17.149584 17.864025 22.040148 19.35055
 17.560163 18.344353 15.606211 15.198356 17.670216]"
25,22dyGMRgestp8u5Lc,25,2,baby facing left sitting down bow in back of head,B,"[16.525007 19.244873 15.40145  16.481327 19.972622 22.534218 17.807522
 17.57589  18.187332 15.622537 17.533619 19.356459]"
26,22dyGMRgestp8u5Lc,26,2,guy falling forward and left one leg up in back,I,"[22.227123 19.104279 21.768648 17.839167 18.535564 23.229424 20.756905
 17.988426 19.423635 17.29727  16.763958 18.401136]"
27,22dyGMRgestp8u5Lc,27,2,kid sitting with bunny ears,E,"[ 9.461054 11.580053 12.627327 12.477858 15.668501 17.305044 13.049324
 12.71419  14.817008 10.279467 14.575262 13.284961]"
