full_text,word_idx,word,logprob
jumping off building with hands in the air,0,jumping,-11.536355018615723
jumping off building with hands in the air,1,off,-5.618725299835205
jumping off building with hands in the air,2,building,-7.757317066192627
jumping off building with hands in the air,3,with,-4.45745325088501
jumping off building with hands in the air,4,hands,-4.815379619598389
jumping off building with hands in the air,5,in,-1.578824758529663
jumping off building with hands in the air,6,the,-0.8719613552093506
jumping off building with hands in the air,7,air,-0.11682286113500595
like the a high heeled shoe tough one,0,like,-12.817693710327148
like the a high heeled shoe tough one,1,the,-2.1644484996795654
like the a high heeled shoe tough one,2,a,-7.862903594970703
like the a high heeled shoe tough one,3,high,-8.393153190612793
like the a high heeled shoe tough one,4,heeled,-7.164153456687927
like the a high heeled shoe tough one,5,shoe,-1.5476876497268677
like the a high heeled shoe tough one,6,tough,-11.059922218322754
like the a high heeled shoe tough one,7,one,-5.763377666473389
no arms not legs like a necktie with the bottom turned slightly to the right,0,no,-12.942693710327148
no arms not legs like a necktie with the bottom turned slightly to the right,1,arms,-9.462899208068848
no arms not legs like a necktie with the bottom turned slightly to the right,2,not,-7.643694877624512
no arms not legs like a necktie with the bottom turned slightly to the right,3,legs,-1.012007236480713
no arms not legs like a necktie with the bottom turned slightly to the right,4,like,-7.997142791748047
no arms not legs like a necktie with the bottom turned slightly to the right,5,a,-2.071755886077881
no arms not legs like a necktie with the bottom turned slightly to the right,6,necktie,-8.374845296144485
no arms not legs like a necktie with the bottom turned slightly to the right,7,with,-4.450261116027832
no arms not legs like a necktie with the bottom turned slightly to the right,8,the,-4.146193504333496
no arms not legs like a necktie with the bottom turned slightly to the right,9,bottom,-5.273806571960449
no arms not legs like a necktie with the bottom turned slightly to the right,10,turned,-5.765186786651611
no arms not legs like a necktie with the bottom turned slightly to the right,11,slightly,-7.2776899337768555
no arms not legs like a necktie with the bottom turned slightly to the right,12,to,-1.7328591346740723
no arms not legs like a necktie with the bottom turned slightly to the right,13,the,-0.1216709092259407
no arms not legs like a necktie with the bottom turned slightly to the right,14,right,-0.7979956269264221
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,0,like,-12.817693710327148
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,1,a,-2.1019484996795654
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,2,baby,-6.727377891540527
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,3,sitting,-3.7509288787841797
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,4,on,-1.154252052307129
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,5,floor,-5.247201919555664
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,6,with,-3.173328399658203
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,7,arms,-4.197139739990234
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,8,out,-1.706040859222412
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,9,and,-2.1544933319091797
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,10,a,-3.710031747817993
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,11,bow,-5.917661666870117
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,12,on,-1.1010956764221191
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,13,the,-2.297072410583496
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,14,back,-3.549323320388794
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,15,of,-0.7534219026565552
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,16,her,-3.7877042293548584
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,17,head,-0.16269901394844055
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,18,she,-6.2405219078063965
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,19,is,-1.1933505535125732
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,20,facing,-4.987831115722656
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,21,left,-1.986419916152954
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,22,and,-1.854910135269165
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,23,the,-2.3210952281951904
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,24,bow,-3.435969114303589
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,25,in,-4.663717269897461
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,26,on,-2.162721633911133
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,27,the,-0.7346981167793274
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,28,right,-0.82171630859375
