,mean_mean_prob,mean_prob_lower,mean_prob_upper,mean_accuracy,accuracy_lower,accuracy_upper,model
0,0.19087307,0.18765533678233623,0.19413084350526333,0.325609756097561,0.31717073170731713,0.33414634146341465,/scr/benpry/kilogram-models/clip_controlled/whole+black/model0.pth
1,0.18693078,0.1836609922349453,0.1902357004582882,0.32253658536585367,0.31409756097560976,0.3311231707317074,/scr/benpry/kilogram-models/clip_controlled/whole+black/model2.pth
2,0.19701491,0.1936814684420824,0.2003988541662693,0.3380975609756098,0.3295609756097561,0.3468780487804878,/scr/benpry/kilogram-models/clip_controlled/whole+black/model1.pth
3,0.17697218,0.17367641031742095,0.1803010020405054,0.31912195121951215,0.3108780487804878,0.3275121951219513,/scr/benpry/kilogram-models/clip_controlled/whole+color/model0.pth
4,0.18168007,0.17827789522707463,0.1850576139986515,0.3278536585365854,0.3193658536585366,0.33639024390243905,/scr/benpry/kilogram-models/clip_controlled/whole+color/model2.pth
5,0.18516347,0.1815509580075741,0.18879926055669785,0.32390243902439025,0.31575487804878044,0.33199999999999996,/scr/benpry/kilogram-models/clip_controlled/whole+color/model1.pth
6,0.18178469,0.17892670221626758,0.18466500826179982,0.35048780487804876,0.34195121951219526,0.3590731707317073,/scr/benpry/kilogram-models/clip_controlled/parts+color/model0.pth
7,0.18195839,0.17905242852866649,0.18488364107906818,0.3495121951219512,0.34107317073170734,0.35809756097560974,/scr/benpry/kilogram-models/clip_controlled/parts+color/model2.pth
8,0.19042447,0.1873574536293745,0.19358414858579637,0.3514146341463415,0.34326829268292686,0.3598048780487804,/scr/benpry/kilogram-models/clip_controlled/parts+color/model1.pth
9,0.178609,0.1758036684244871,0.18140836618840694,0.3315609756097561,0.32287804878048787,0.3402439024390244,/scr/benpry/kilogram-models/clip_controlled/parts+black/model0.pth
10,0.17927486,0.17646948508918286,0.18199505507946015,0.33502439024390235,0.3265841463414634,0.34326829268292686,/scr/benpry/kilogram-models/clip_controlled/parts+black/model2.pth
11,0.18314345,0.1802462074905634,0.18600647449493407,0.3405853658536585,0.3321451219512195,0.34936707317073173,/scr/benpry/kilogram-models/clip_controlled/parts+black/model1.pth
12,0.17105468,0.168295668810606,0.17385901808738707,0.32839024390243904,0.31980487804878055,0.3370731707317073,/scr/benpry/kilogram-models/clip_controlled/augmented/model0.pth
13,0.18231793,0.17935768328607082,0.18530269898474216,0.34346341463414637,0.3349743902439024,0.35190243902439033,/scr/benpry/kilogram-models/clip_controlled/augmented/model2.pth
14,0.18182954,0.17865437529981137,0.18501985482871533,0.32492682926829264,0.3168292682926829,0.33317073170731704,/scr/benpry/kilogram-models/clip_controlled/augmented/model1.pth
15,0.18978447,0.1864542905241251,0.19308169260621072,0.32653658536585367,0.31814634146341464,0.33492682926829265,/scr/benpry/kilogram-models/clip_random/whole+black/model0.pth
16,0.19112596,0.18787646926939489,0.1944004248827696,0.32458536585365855,0.31624390243902445,0.33312195121951216,/scr/benpry/kilogram-models/clip_random/whole+black/model2.pth
17,0.19219576,0.1888415314257145,0.19544965513050555,0.3338048780487805,0.32536585365853665,0.3423414634146342,/scr/benpry/kilogram-models/clip_random/whole+black/model1.pth
18,0.1795839,0.17620424330234527,0.1829738188534975,0.3230731707317073,0.31502317073170727,0.33117195121951226,/scr/benpry/kilogram-models/clip_random/whole+color/model0.pth
19,0.18292996,0.17952900528907775,0.1864188902080059,0.33351219512195124,0.3249268292682927,0.34175731707317075,/scr/benpry/kilogram-models/clip_random/whole+color/model2.pth
20,0.1788592,0.17551874704658985,0.18224175199866294,0.3303902439024391,0.3221951219512195,0.3385365853658537,/scr/benpry/kilogram-models/clip_random/whole+color/model1.pth
21,0.16483997,0.16253911070525645,0.16712070554494857,0.33317073170731715,0.3254146341463415,0.3409280487804879,/scr/benpry/kilogram-models/clip_random/parts+color/model0.pth
22,0.15913278,0.1569720420986414,0.1612776268273592,0.3247317073170733,0.31678048780487805,0.3328292682926829,/scr/benpry/kilogram-models/clip_random/parts+color/model2.pth
23,0.15528372,0.15323564559221267,0.15734499245882033,0.3326341463414634,0.3246829268292683,0.340780487804878,/scr/benpry/kilogram-models/clip_random/parts+color/model1.pth
24,0.18187445,0.1789822794497013,0.18486616648733614,0.31673170731707323,0.30917073170731707,0.32453658536585367,/scr/benpry/kilogram-models/clip_random/parts+black/model0.pth
25,0.1830546,0.18015723079442977,0.18593368604779242,0.3257560975609756,0.31804878048780494,0.3334158536585367,/scr/benpry/kilogram-models/clip_random/parts+black/model2.pth
26,0.18197766,0.17899455800652503,0.18506152965128422,0.32380487804878044,0.316,0.3315121951219512,/scr/benpry/kilogram-models/clip_random/parts+black/model1.pth
27,0.16790652,0.16500063054263592,0.17075350545346737,0.2726829268292683,0.2657560975609756,0.27970731707317076,/scr/benpry/kilogram-models/clip_random/augmented/model0.pth
28,0.1628456,0.16017250828444957,0.1655290439724922,0.27746341463414637,0.26965853658536587,0.2854634146341463,/scr/benpry/kilogram-models/clip_random/augmented/model2.pth
29,0.16723703,0.1644607786089182,0.17005028203129768,0.29487804878048784,0.2865353658536585,0.3033658536585366,/scr/benpry/kilogram-models/clip_random/augmented/model1.pth
